Question
Quels sont les éléments obligatoires sur une page produit ? 
Qu'est ce que des CGV ? 
Quels sont les 2 moyens de référencer un site internet quelles sont leurs définitions ? 
Quelles sont les 2 natures de site internet et leur objectif / enjeux ?  
Qu'est ce qu'une Marketplace ?
Qu’est-ce que l’UX design et son objectif ?
Qu'est-ce que les mentions légales d'un site et que doivent-elles contenir ?
Qu’est-ce que l’UI design et son objectif ?
Qu’est-ce qu’une méta description ?
Que doit-on travailler le SEO d'une page ?
Comment doit-être réfléchi un menu de navigation de site ?
A quoi sert une page d'accueil sur un site et comment la construit-on ?
Qu'est-ce qu'une élément de réassurance sur un site ? donner un exemple 
A quoi correspondent les cookies ? 
Quelles sont les obligations à respecter en termes de récolte des données personnelles sur un site ?
Comment construit-on un formulaire de contact ? 
Donner les CMS populaires pour créer des sites internet 
Comment construit-on une page de présentation d'offre sur un site ? 
